Parameters,panobinostatlbh589,artemether
EC50,0.00939161280424507,0.0474738436867393
H,3.15733191844922,3.1428319063151
Ucinf,5.93587288086133,3.94415492592992
chi2,656.356330240636,1708.08751002955
good_of_fit,0,0
