Parameters,cycloheximide,artemether
EC50,0.0138931667596286,0.318886822543034
H,2.12102092634127,1.88273877160055
Ucinf,0,3.39013189204889
chi2,836.198804583685,401.90568100774
good_of_fit,0,0
