Parameters,lomerizinedihydrochloride,artemether
EC50,0.0103161908219389,10
H,4.95111548758957,1.57219167687304
Ucinf,0,38.6319645951051
chi2,139.584649043441,95.9292606217405
good_of_fit,0,0
