Parameters,nanchangmycin,artesunate
EC50,0.00760791738305287,0.000440836538215894
H,5.67545787420887,4.13502680450877
Ucinf,7.57554889630684,20.4857246686796
chi2,4308.55722582765,38995.535277925
good_of_fit,0,0
