Parameters,piperaquine,artenimol
EC50,0.00157212450960346,0.0470611886639352
H,9.99999999999996,9.99999999999997
Ucinf,4.09309671563038,6.17947249235462
chi2,1743.36831193983,1376.81423708824
good_of_fit,0,0
