Parameters,alvespimycinhydrochloride,reserpine
EC50,0.973853269825244,0.227234927872528
H,9.99999999999997,3.40660024227903
Ucinf,8.90306966684811,0
chi2,5092.67702393004,7863.1786953304
good_of_fit,0,0
