Parameters,manoalide,artemether
EC50,0.0106701193181554,9.99999999999993
H,2.05306945461621,9.99999999999932
Ucinf,0,34.1899424909869
chi2,2313.21972092189,1999.87437454846
good_of_fit,0,0
