Parameters,propafenonehydrochloride,halofantrine
EC50,0.000845822795566254,0.86273412047494
H,2.86211501043224,2.19309097862161
Ucinf,0.194599797656131,0
chi2,19.1784504576711,72.9255146173136
good_of_fit,0,0
