Parameters,bix01294,lumefantrine
EC50,0.0103282673868863,0.0791632884693446
H,2.55987618045421,7.00312516613101
Ucinf,0,1.46583373629698
chi2,49.5006457885946,131.96250080389
good_of_fit,0,0
