Parameters,carfilzomib,artenimol
EC50,0.000838766066193726,0.0130870952336211
H,4.34765182327869,9.99999999999986
Ucinf,0.764165422518365,0.149450564190307
chi2,114.53169173746,152.387805008709
good_of_fit,0,0
