Parameters,gsk2126458,propafenonehydrochloride
EC50,3.17375717963608,0.05
H,4.93241465287193,10
Ucinf,6.75736399073424,0.238812807314714
chi2,243.313596777182,1005.14094143085
good_of_fit,0,0
