Parameters,piperaquine,methyleneblue
EC50,0.0357644739606629,0.0499682535185831
H,10,9.99999999999999
Ucinf,5.90921941016409,4.83482123960381
chi2,3704.50931204762,1253.74470616479
good_of_fit,0,0
