Parameters,ml238,methyleneblue
EC50,0.0204548026868132,0.0183676131423012
H,3.99986553758687,1.64731974688283
Ucinf,1.68290199303897,0
chi2,140.492447417329,86.0638196579486
good_of_fit,0,0
