Parameters,decoquinate,atovaquone
EC50,0.00386791428741102,0.00928317864840111
H,1.82858798519904,3.33650581003316
Ucinf,5.12070305808536,2.22841511788319
chi2,41.7056969411866,634.783761897718
good_of_fit,0,0
