Parameters,pyronaridine,artemether
EC50,0.0110155142175028,0.0082311879599825
H,10,9.99999999999996
Ucinf,3.14433407206122,1.94801011886224
chi2,4487.82149999489,1218.25573885668
good_of_fit,0,0
