Parameters,mefloquine,lumefantrine
EC50,0.0492327383996683,0.0334693494204349
H,9.99999999999923,9.99999999999998
Ucinf,0,79.7053987021055
chi2,108461.641328793,51763.5728725565
good_of_fit,0,0
