Parameters,emetine,artesunate
EC50,0.0187123837740012,0.325438532039328
H,9.99999999999956,9.9999999999129
Ucinf,22.8607601683109,64.8713264681192
chi2,9720.18938220407,13878827296.7931
good_of_fit,0,0
