Parameters,proguanil,artenimol
EC50,0.00277402127425008,0.0841462549659574
H,10,3.62829713937318
Ucinf,0.605718907544622,28.4813960362903
chi2,806.354180791638,220.481048090747
good_of_fit,0,0
