Parameters,panobinostatlbh589,lumefantrine
EC50,0.0149200417649896,0.091618884417446
H,4.391859005302,3.48293272381766
Ucinf,2.81217859119277,1.55375802017905
chi2,231.957985536618,407.171330225047
good_of_fit,0,0
