Parameters,mefloquine,halofantrine
EC50,0.0019132271390704,0.0319305773051572
H,7.37619660347901,9.99999999999988
Ucinf,1.48493367193246,0.930404284697556
chi2,1618.16672352436,1143.9854773808
good_of_fit,0,0
