Parameters,amodiaquine,artemether
EC50,0.01226103049642,0.0663973113202314
H,9.9999999999999,1.20297697464471
Ucinf,37.6580701523195,0
chi2,19501.1160755295,13754.9944750803
good_of_fit,0,0
