Parameters,manidipinedihydrochloride,artemether
EC50,0.0209512009033183,6.08459350068033
H,6.10806438736612,1.49563748952942
Ucinf,0.487129068640008,0
chi2,35.4590568185458,182.0183365432
good_of_fit,0,0
