Parameters,cycloheximide,methyleneblue
EC50,0.0152178172963212,0.0394768509779317
H,5.16295820462076,10
Ucinf,1.39935646174529,30.804580943748
chi2,721.229789142546,2705.59514726886
good_of_fit,0,0
