Parameters,tafenoquine,artenimol
EC50,0.00296174876420544,0.188104975390801
H,5.48878844239027,3.29488699325993
Ucinf,3.84791630498021,11.3357750505937
chi2,337.193877511166,279.143270837965
good_of_fit,0,0
