Parameters,lumefantrine,halofantrine
EC50,0.00151009660060533,0.00430603515533767
H,4.79904873393548,1.6553901830995
Ucinf,0.209766087769903,0
chi2,39.4186392564623,473.530079103504
good_of_fit,0,0
