Parameters,panobinostatlbh589,lumefantrine
EC50,0.0499999999999809,0.130673934107361
H,4.55798217816187,9.99999999999983
Ucinf,60.7670466864141,0
chi2,76336.2849801517,32697.9102378514
good_of_fit,0,0
