Parameters,trichostatina,decoquinate
EC50,0.00316861116602315,0.0642066595602845
H,1.92600814329082,2.18270559372589
Ucinf,7.62206221202583,0.565547232220587
chi2,75.3808970867635,3576.35352693546
good_of_fit,0,0
