Parameters,pkc412,artenimol
EC50,0.0019956398591972,1.24386480736754
H,9.99999999999998,9.99999999999999
Ucinf,47.4286381846687,0
chi2,52977.5864976286,33813.0218150756
good_of_fit,0,0
