Parameters,gramicidin,artemether
EC50,0.00393519070986318,2.40741790463881e-05
H,2.02421570874384,2.69645200692651
Ucinf,0,1.0766227629544
chi2,146.552720590337,33.6806681842478
good_of_fit,0,0
