Parameters,proguanil,artenimol
EC50,0.00421851439885348,0.0999412049675308
H,5.40026111524806,5.42519764305251
Ucinf,14.6929182562548,13.3212591576424
chi2,18035.0900669594,11697.9529770398
good_of_fit,0,0
