Parameters,alvespimycinhydrochloride,artemether
EC50,0.0337150809577749,0.140657068715643
H,5.86698796109093,4.06569589660719
Ucinf,0,1.85428819299474
chi2,46.0111828633691,97.6484503013414
good_of_fit,0,0
