Parameters,bix01294,nanchangmycin
EC50,0.000589055549751197,0.0338670417056551
H,9.99999999999828,9.9999999999999
Ucinf,29.7701516363824,15.2022549270817
chi2,9676.02315668495,3496.27738230062
good_of_fit,0,0
