Parameters,proguanil,artesunate
EC50,0.0104587666161254,0.174999999999981
H,10,9.99999999999931
Ucinf,26.2682070065772,74.3227249273078
chi2,5316.91145306446,10466.3263188419
good_of_fit,0,0
