Parameters,panobinostatlbh589,artemether
EC50,0.0266909470343262,0.165683910600866
H,9.99999999999344,4.63085119593806
Ucinf,85.0069733636886,0.289744147243398
chi2,44168.5310629522,20817.1707854938
good_of_fit,0,0
