Parameters,torin2,lumefantrine
EC50,0.0118098725981104,0.00110908522416001
H,0.583111806009073,4.44461397311248
Ucinf,0,10.9755963613343
chi2,7751.27060037142,139.342309860234
good_of_fit,0,0
