Parameters,trichostatina,nitd609
EC50,0.00114968689328874,0.11140312939798
H,10,9.99999999999994
Ucinf,18.2284418666758,37.9493162674075
chi2,3039.50666632257,20669.8789676335
good_of_fit,0,0
