Parameters,bix01294,amodiaquine
EC50,0.158566249245945,0.0812151172601527
H,9.99999999999986,7.26660047524807
Ucinf,4.14435657334524,2.03697447468304
chi2,15.3300815869008,17.2555245867909
good_of_fit,0,0
