Parameters,mefloquine,methyleneblue
EC50,0.0749999999999997,0.0463450480352876
H,9.99999999999972,4.24986939189918
Ucinf,41.2496333074845,9.20388437523019
chi2,48137.7969915311,63739.0111050818
good_of_fit,0,0
