Parameters,elactocin,artemether
EC50,0.0234389715614304,0.374999999999984
H,9.99999999999991,9.99999999999942
Ucinf,8.82388810026812,86.0870461704758
chi2,10193.0058569249,29363.4220769183
good_of_fit,0,0
