Parameters,cycloheximide,artesunate
EC50,0.0169689955568181,0.357253762110067
H,9.03841128716885,1.54276596820523
Ucinf,5.50326903742746,0
chi2,2889.31061074967,337.369461422102
good_of_fit,0,0
