Parameters,monensinsodiumsalt,methyleneblue
EC50,0.0120530553579685,0.00117119788443782
H,0.747829979662011,3.6733346368629
Ucinf,0,8.00207165473532
chi2,19933.1365903576,938.402402998391
good_of_fit,0,0
