Parameters,piperaquine,artesunate
EC50,0.0107135655009123,0.0360352779560447
H,9.99999999999999,10
Ucinf,11.549668965076,3.7273614849896
chi2,1974.20379410109,385.392519857954
good_of_fit,0,0
