Parameters,lumefantrine,artemether
EC50,0.0226863619716791,0.0180548906863346
H,9.99999999999999,2.94232825254109
Ucinf,0.178047978614121,0
chi2,218.438551900473,125.607171801891
good_of_fit,0,0
