Parameters,pyronaridine,artemether
EC50,0.0257910075766376,0.0319794816192432
H,9.99999999999999,10
Ucinf,1.0476923373591,0.225569150373456
chi2,487.360376516841,611.515949426893
good_of_fit,0,0
