Parameters,alvespimycinhydrochloride,reserpine
EC50,2.3210544098754,0.18686587171551
H,5.24768953216167,3.31328179356812
Ucinf,0,0
chi2,148.104129127545,175.076717317485
good_of_fit,0,0
