Parameters,bix01294,nanchangmycin
EC50,0.00193823101295457,0.0768073340611058
H,1.63944495190445,7.75138506607379
Ucinf,0,2.03600556325051
chi2,164.355109920764,97.1423900470743
good_of_fit,0,0
