Parameters,nanchangmycin,artesunate
EC50,0.00315936179365555,0.000247761903025892
H,3.71518093861349,5.25252850912728
Ucinf,0.989901467097187,2.55485072969206
chi2,458.058914568942,190.750789673571
good_of_fit,0,0
