Parameters,genz669178,decoquinate
EC50,0.00361146459487381,0.0654120481226241
H,10,4.16773586463035
Ucinf,19.7713712383234,40.2569825705075
chi2,981.874168737276,22774.5878014294
good_of_fit,0,0
