Parameters,torin2,artenimol
EC50,0.00135797670231878,0.000978409592850516
H,9.99999999999999,10
Ucinf,4.04056506613038,2.62408793105293
chi2,2619.38853539311,3227.99639916587
good_of_fit,0,0
