Parameters,azithromycin,chloroquine
EC50,0.0246867884485644,0.65555705442909
H,2.5489086586089,9.99999999999994
Ucinf,5.25982007256005,57.516116038026
chi2,2431.90788774214,2689.81833998217
good_of_fit,0,0
