Parameters,rifampicin,halofantrine
EC50,0.000329806577511928,0.112780460075215
H,1.66125691914518,1.96651047239258
Ucinf,0,16.6926129539664
chi2,64.2724490720147,633.176115929053
good_of_fit,0,0
