Parameters,tafenoquine,lumefantrine
EC50,0.0230992424982163,0.74999999398951
H,9.99999999999998,2.58168217216536
Ucinf,23.717915950429,9.39484504138303
chi2,39834.0911180359,7826276113.63967
good_of_fit,0,0
