Parameters,nitd609,artesunate
EC50,0.00729660003442148,0.00152978076282225
H,9.99999999999923,9.99999999999998
Ucinf,7.17517909705918,0
chi2,1806.00194701127,1322.29449484568
good_of_fit,0,0
