Parameters,methylrosanilinechloride,atovaquone
EC50,0.00209234825390625,0.0699864093738896
H,2.20767659286295,10
Ucinf,6.44969452132759,0
chi2,569.156863377787,697.919467963715
good_of_fit,0,0
