Parameters,cinacalcethydrochloride,piperaquine
EC50,0.0528761471261642,0.148866293397056
H,9.99999999999978,8.02757565981569
Ucinf,47.4165677604424,50.9536917988008
chi2,32862.3070687285,6823.63448493062
good_of_fit,0,0
