Parameters,monensinsodiumsalt,artenimol
EC50,0.00408289224324586,0.00272580172967824
H,2.94037501905366,3.85926892640512
Ucinf,0,5.01414163218221
chi2,159.376005760826,125.58022199275
good_of_fit,0,0
