Parameters,nvpbgt226,methyleneblue
EC50,0.0113901974434889,0.000588298593846893
H,9.99999999999998,9.99999999999984
Ucinf,9.20280339041924,52.9441315624525
chi2,2966.8184789109,22095.0643605545
good_of_fit,0,0
