Parameters,methotrexate,gramicidin
EC50,3.33363980473263e-05,0.0419599548862392
H,1.33677501699912,4.07992411695852
Ucinf,0,4.66163157699366
chi2,10.2544599936678,286.503560862932
good_of_fit,0,0
