Parameters,ml238,atovaquone
EC50,0.0249999999999956,0.0499999999999996
H,9.99999999999984,9.99999999999997
Ucinf,44.8796088746704,33.6963802488357
chi2,33459.6404444324,14710.0411674804
good_of_fit,0,0
