Parameters,reserpine,artesunate
EC50,0.00782790277820693,1.42657636527186
H,6.11209074028848,3.54147583486751
Ucinf,9.69509079493048,0
chi2,1542.31349096944,4141.37644243259
good_of_fit,0,0
