Parameters,manidipinedihydrochloride,artenimol
EC50,0.00214911969920625,5.61796323175707
H,5.66594068397218,3.49181219311228
Ucinf,13.826387328603,0
chi2,10172.140581862,3881.38755348181
good_of_fit,0,0
