Parameters,elactocin,artemether
EC50,0.0345501696117888,0.375
H,9.99999999999993,9.99999999999992
Ucinf,25.3063946671105,94.1394737086584
chi2,56.4055637591143,100.764467531524
good_of_fit,0,0
