Parameters,nicardipine,artesunate
EC50,0.00213529509617749,2.58111234524752
H,4.52586239741628,1.87432194995463
Ucinf,1.17766150131476,0
chi2,177.488603227191,337.847898018393
good_of_fit,0,0
