Parameters,gsk2126458,proguanil
EC50,0.0711908373647117,0.0339808183301819
H,1.31578236779553,6.76697903431534
Ucinf,0,43.3126200697762
chi2,275.347688188531,317.138031848773
good_of_fit,0,0
